,waktu,username,tweet
111,2022-06-15 04:50:00,Mafer_GC0,"Ptm, amo a lit killah"
112,2022-06-15 04:28:32,monroy_jpg,LISELI PTM
113,2022-06-15 04:25:39,SheilaZulfiqar,@SaleemKhanSafi To kia ab PTM aur TTP ki eik demand hone ja tahi hay k FATA  ka KP se merger reverse karein? Assemb… https://t.co/USKZ0og1rP
114,2022-06-15 04:21:13,uptpkmpadasuka,Kegiatan Skrining Deteksi Dini Faktor Risiko Penyakit Tidak Menular (PTM) dan Kesehatan Jiwa oleh UPTD Puskesmas Pa… https://t.co/gQFYe0jvRn
115,2022-06-15 04:09:14,joolvss,NAKSKLSSLSLS PTM https://t.co/TaEmgPYrvN
116,2022-06-15 04:07:42,xkillmyrep,PTM KARLA PANINI 😤 https://t.co/V90K1kgUe6
117,2022-06-15 04:02:14,LT91HSX,"PTM JAKAKSHAKA
 https://t.co/FZUCLadZ9L"
118,2022-06-15 03:39:57,gxlilea_,ARROBA BTS PTM https://t.co/0PkUO0McsN
119,2022-06-15 03:38:58,miindho,@hanjilsi ptm ternyata singkatan prens tatap muka jiss.
120,2022-06-15 03:38:27,minayawa,@yaquevulva Ptm stup!!!
121,2022-06-15 03:27:57,ZainUlAbdinReal,@MaleehaHashmey Jb nawaz sharif ptm sb siasat kar sakty hain to altaf hussain ka kia qasoor hai? Sirf yehi ky wo Muhajir hai???
122,2022-06-15 03:03:24,mujerdseokjin,JUNGKOOK PTM
123,2022-06-15 02:59:30,YoonVlights,AYUDAAAAAAA JUNGKOOK PTM https://t.co/3wunI2HjSD
124,2022-06-15 02:58:21,natt_bella,@casskeyla AKJAKJAKJ WEY AAAAAAAAAAA PTM
125,2022-06-15 02:57:34,nawacitadotco,Kemendikbudristek Tetap Dorong PTM 100 Persen Meskipun Ada Varian Omicron Baru https://t.co/56VbXZ58fp
126,2022-06-15 02:57:33,nawacitamedia,Kemendikbudristek Tetap Dorong PTM 100 Persen Meskipun Ada Varian Omicron Baru https://t.co/5UjL9OIgMr
127,2022-06-15 02:57:31,NAWACIT4,Kemendikbudristek Tetap Dorong PTM 100 Persen Meskipun Ada Varian Omicron Baru https://t.co/PvD57Dvb0D
128,2022-06-15 02:48:46,unaleofeliz,jaskjiwjsjisjai ptm son bien picones
129,2022-06-15 02:42:03,minannli,RUN PTM!!!
130,2022-06-15 02:20:03,uwu_mariale,LOUIS PTM SAL YA
131,2022-06-15 02:19:06,MonMayito,Sus besitoooosss ptm hoy fue un dia ajsdhiahqkaudkaha😻🤤🤤🤤🤤
132,2022-06-15 02:04:36,radioboosfm,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi Republik Indonesia:sebut pembelajaran tatap muka  dilakuka… https://t.co/5j24rzR882"
133,2022-06-15 01:52:45,fiothv,ME AHGOOOOJWKJWIW PTM SI https://t.co/oFnbmpsBFl
134,2022-06-15 01:46:45,GianeJR,Oeee ptm
135,2022-06-15 01:43:03,danilvslhh,@sheperfnow JKAJAJAJAJJAHAJAKJA PTM 😭
136,2022-06-15 01:17:30,Guty_er,@Darwinn99 Ptm mi Darwin
137,2022-06-15 01:08:39,ivnnasa,@schfess Sekolahku si dadakan bgt nderr😭 pokoknya kalo ngasih info jadwal ptm kelas mana aja malemnya atau bahkan p… https://t.co/0CGOFHMspl
138,2022-06-15 01:06:49,livianoona,"@sbmptnfess nggak
awal masuk kuliah (ptm) pakai baju bebas, sopan, dan rapi
nah kalau awal masuk (pra ptm) alias os… https://t.co/IOnxLCSYtv"
139,2022-06-15 00:45:00,_rakyatmerdeka,"94 Persen Sekolah Sudah PTM Penuh

https://t.co/FFfuy9kEd5"
140,2022-06-15 00:36:51,arnoldsuarezg,@debeserfranco ptm mi bb 🥹🥹🥹
141,2022-06-15 00:17:31,Jhonione98,@OoCLibertadores KajajajajjakakakakajjakakJajakKkakjakjaja ptm
142,2022-06-15 00:00:24,rorainbow_,"@baesuzykw @yourvita_min @afrkml Dalam mengendalikan PTM pakai perilaku ""cerdik""
C ontrol kesehatan rutin
E nyahkan… https://t.co/4Kjjyu5jxf"
143,2022-06-14 23:45:48,Cisreader,@enyabooks @MarianaRxso JABZKBSKSBAKSBAKSKAKSAJSK ENYA PTM
144,2022-06-14 23:41:58,apasiyass,ptm day 111 mukaku disensor saja https://t.co/kUULWz6piE
145,2022-06-14 23:41:01,Kimnaeun122,Ptm or rebahan ?
146,2022-06-14 23:36:57,Chinixx18,@acuariana_delto Dale subilo helu la ptm
147,2022-06-14 23:29:15,BellaIsmeliza,@kodachiiii Kemendikbudristek memberikan instruksi bagi sekolah-sekolah untuk menyiapkan tahun ajaran baru #PTM #psychography
148,2022-06-14 23:29:05,fireworkID,"Ketika sekolah sudah PTM, terkesan meninggalkan begitu saja daring, padahal GC media tepat buat ngasi tugas, PR, te… https://t.co/g7RKN6yZEM"
149,2022-06-14 23:13:33,saturn_numb,@iqhakim @txtdrjkt Anjir perasaan PTM baru aja dimulai! Malah langsung tawuran
150,2022-06-14 22:43:35,tp_ptm,PERO JIN-
151,2022-06-14 22:36:44,VPriharyadi,@iqhakim @txtdrjkt Sudah ptm lagi mah banyak yang tawuran gini mending daring lagi aja deh
152,2022-06-14 22:24:44,rbfairyurdoll,HAKDJAKSKA PTM NAT https://t.co/EMukpAswaC
153,2022-06-14 21:46:52,markitosandia,@lab0luda PTM ERA EL 1 JAKSAJKSJA
154,2022-06-14 20:59:47,amistarki,Me urge tener mi Mazda yaaaaaaa ptm
155,2022-06-14 20:37:34,Lmariav1,@RHCASTANEDA Ptm ya!
156,2022-06-14 20:25:11,rnldxhrms,@canyoonbrave_ SE NE SALE LA CACA PTM ABBQJQHAHAHAHAGAGAGAA
157,2022-06-14 20:17:08,Chic0Rico2jz,oe ptm mancini largate webon
158,2022-06-14 20:00:08,Shahid_KhanSK,@Noorullah_PTM Salam sir ji Salam https://t.co/nd1OaQNskv
159,2022-06-14 19:59:09,sejunlog,@ESCORPlO KAHDJAKSHDJS PTM por eso ya no me hablas
160,2022-06-14 19:54:32,lesprivatebpp,Teknologi&amp;Informasi Kemendikbudristek Dorong Sekolah Masih Belajar Daring Segera Gelar PTM - https://t.co/DHIZr0SzgI https://t.co/cqUCHnSm19
161,2022-06-14 19:40:06,_S0ffiiatroste_,Ptm beseme beseme
162,2022-06-14 19:29:34,iMGGIEZ91,@freak4louis JAKAJAKAJAKAJAK ptm 😭
163,2022-06-14 19:28:33,louaylooor,"wey qpd yaaaaa, ptm"
164,2022-06-14 19:23:52,evermoremini,it was***** ptm
165,2022-06-14 19:17:35,kathy_28_,CHOTA PTM LGP AAAAAA https://t.co/v0yb3VT1G8
166,2022-06-14 19:09:48,driddle_creekcg,Ptm yelan 😭
167,2022-06-14 19:07:45,thsvior,/ KSKSOALALSWOSKSOSOSKDKSOSOAMSZ PTM. https://t.co/tvSrRNn7iv
168,2022-06-14 18:53:21,TUIT3RO_MX,"@debilereccion PTM, a mamarla UwU"
169,2022-06-14 18:43:04,luxitouwu,@Mapaxitouwu Ptm a mamarla uwu
170,2022-06-14 18:40:59,TUIT3RO_MX,@MelvinDeCulto Ptm a mamarla OWO
171,2022-06-14 18:30:51,nadjinax_,PTM HYBE
172,2022-06-14 18:29:11,MY93B_,Su ptm Hybe
173,2022-06-14 18:24:27,AnaFerSolares,"@tiodudy ALV SAOKO PLEBITA SAOKO, PTM !"
174,2022-06-14 18:22:51,danielix_19,ysi ptm https://t.co/AMaJSDAB4E
175,2022-06-14 18:06:30,clxraolv,Ptm bts.
176,2022-06-14 17:48:40,AteeqUr66231057,@HamidMirPAK @SamarHBilour Awaam bewaqoof nhe hai sub samaj rahy hai mustaqbil my hum majboran hum mazloom Qoam PTM… https://t.co/rc22edaOfB
177,2022-06-14 17:40:34,haruyepo,ptm kali ini padet banget istg
178,2022-06-14 17:34:22,witchesses,@parhlobri PTM sb se bara masla bhi hota hai?😭
179,2022-06-14 17:28:57,ETS2info,[Mod] Combo Skin PTM-Transport https://t.co/LawX1KGrc9 https://t.co/IxKUVFoy9F
180,2022-06-14 17:23:08,simpoverhims,"skip beberapa bulan ptm, semuanya berjalan dengan baik. sampai bulan mei, aku ngerasa aku harus berhenti suka sama… https://t.co/gWel82oJMp"
181,2022-06-14 17:22:11,ets_trucker,ETS2 [MOD] Combo Skin PTM-Transport https://t.co/0F2fARrWd6 #ETS2 #EuroTruckSimulator2 #gertruck https://t.co/YHjYxSk1XK
182,2022-06-14 17:19:20,simpoverhims,"bahkan kalau di liat liat dulu kita jarang banget ketemu walaupun udah ptm 50%. kenapa? karna setiap aku masuk, kam… https://t.co/dL9DcJA5Zh"
183,2022-06-14 17:12:24,msaadulhaq,@HamidMirPAK Yeh wphi ISPR hai jo kehta tha k PTM ko RAW se pese milte hain?
184,2022-06-14 16:44:45,vpvpvp08,oe ptm
185,2022-06-14 16:40:03,jpnncom,Kemendikbudristek memberikan instruksi bagi sekolah-sekolah untuk menyiapkan tahun ajaran baru #PTM https://t.co/6PlOaZNgSa
186,2022-06-14 16:18:36,sphowi,PTM SJJSAJJSJD https://t.co/9kuGerpSWE
187,2022-06-14 16:16:57,starbakisseu,"pertama kali ketemu itu pas januari 2022, itu jg pertama kali nya gue ptm disekolah lama, karena jarak sekolah sama… https://t.co/srjV3vTnZq"
188,2022-06-14 16:13:44,CszahbhCH,@ArifRetd Mera jism meri merzi b bajwa ne shoro kia hum samjy hi nhi maqsad hai pakistan ko islami riasat nhi rehna… https://t.co/AJSZIUlVxt
189,2022-06-14 16:13:18,Rinto_114,"@daniellsinaga 2 hr lalu dpt cerita dr temen, seorang guru. Ada 1 siswa gak pernah datang ke sekolah, pdhl sdh PTM.… https://t.co/Q7yNbizJ5o"
190,2022-06-14 16:09:49,omartr,Ptm si se me antojo un kfc
191,2022-06-14 15:49:01,HNaeemkhan,@ZaminChangezi @Noorullah_PTM @KaleemTatak Wah keya baat kahe.. zabardasst
192,2022-06-14 15:43:53,Hitomi68,@dynn_3 Yo 38 Ptm dayaanaaaa
193,2022-06-14 15:28:13,AuraJot,@TobiCandad0 ptm tobi* jsjjs
194,2022-06-14 15:27:19,endofjunee,PTM JAHSJSHAJJA https://t.co/5BajKbN7vv
195,2022-06-14 15:24:39,JesusEsponda9,Dale muguuuu ptm
196,2022-06-14 15:24:02,whoixmara,PTM SE ME PEGO EL UWU
197,2022-06-14 15:17:23,aaarsethh,"Penyakit Tidak Menular (PTM) menjadi salah satu penyebab kematian, salah satunya Hipertensi.

*Penyelidikan Epidemi… https://t.co/6TCUxt5nfU"
198,2022-06-14 14:38:17,MR0syid,"@alvinlie21 @IndiHome @TelkomCare Akhirnya kami putuskan untuk berhenti, selain karena alasan anak-anak sudah PTM.… https://t.co/gNntLrPA23"
199,2022-06-14 14:33:01,pjmlovss,seungmin hizo live ptm
200,2022-06-14 14:29:00,RehmatAchakzai9,@Noorullah_PTM @ProfMIsmail Dada wosai mashra ✌
201,2022-06-14 14:09:41,sixersede,@BennyKeef Piye iki.. anak udah seneng PTM .. hadehhh
202,2022-06-14 14:06:25,primaaay,bau british pear miniso gue ngingetin bauu pertama pertama ptm..
